,Raw_Comments
0,"Cả nhà nhớ like và subscribe (đăng ký) Channel để ủng hộ Viet Riders có thêm nhiều video mới nhé, cảm ơn mọi người"
1,tks . Rất chi tiết và hữu ích
2,Sao e chỉnh mà nó chẳng thay đổi j ạ
3,Anh làm ơn hướng dẫn chỉnh Cùi đề trước thì trọn vẹn cho người sử dụng xe.
4,Cho mình hỏi sao mình mình bấm líp không ăn
5,"Ad cho mình hỏi. Cùi đề slx 11 chạy với líp 10, tay đề 10 được không."
6,Xe Líp vặn chỉnh thế này được không anh
7,Trục xoay không xoay được thì sao ạ ?
8,cùi đề anh mua ở đâu vậy
9,"Em có vài câu hỏi như sau ạ:<br />1) Cái pát cùi đề như thế nào là đúng ạ? Hôm vừa rồi ông sửa xe có nói là bị cong và bẻ lại, nhưng em ko biết đã vào đúng chưa.<br />2) Đoạn đầu anh chỉnh độ căng của dây đề bằng cách siết trục xoay (cục của em là ở trên cùi đề), sau đó xả và siết ốc dây đề thì:<br />    2.1) Độ căng của dây lúc này như thế nào cho vừa?<br />    2.2) Anh có thể chỉ chi tiết hơn chỗ xả và siết ốc dây đề không ạ?<br />Em mới tìm hiểu, mong nhận câu trả lời ạ."
10,"Hay quá anh ơi, chân trời kiến thức"
11,A ơi xe em líp8 mà bây h em muốn lên lip 10 thì mình có phải thay cả cùi đề ko anh
12,👍
13,"Hello a Viet, em có 1 câu hỏi , xe em hiện tại đi 1 đĩa 28T và líp sau lớn nhất là 46T, nếu e để ở líp to nhất và đạp lùi(nghe tiếng cối nổ) thì có xu hướng rớt xích về tầng nhỏ hơn là bth hay là bất thường ạ. Cùi đề e xài M5120."
14,Em cam on anh nhe
15,Ban có clip hướng dẫn road shimano 10 không
16,Anh cho em sin ìno đi
17,"<a href=""https://www.youtube.com/watch?v=ctH3Bo6TKBE&amp;t=3m11s"">3:11</a> núm vặn nào vậy<br /> a"
18,Nếu e là 1 người dùng MTB chỉ đi trong city + offroad nhẹ nhàng (ko leo nhiều ấy ah) thì e nên sài group Alivio là đủ hay nên lên luôn Deore ah ? ( vì kinh phí ko thoải mái nên e khá cân nhắc việc nâng cấp ấy ạ)
19,ơ sao e chỉnh xong đi nó lại bị tuột xích thế a
20,Hay
21,Em làm toét đầu 2 con ốc high low thì có thay được con khác ko anh. Ra tiệm họ bảo ko thay dc. Do bữa chỉnh hí hoáy cái tô vít hơi to so với đầu ốc
22,chú ơi xe đạp cháu không ăn vào líp nhỏ nhất và líp lớn nhất là sao v chú
23,Hay quá
24,"Càng xem càng thấy bản thân kém cỏi,trước cứ nghĩ xe đạp là thiết bị cơ bản ai cũng biết rõ.Xem xong mới thấy còn nhiều thứ không biết một tí gì"
25,Dạ bộ đề em nó để shinsmax là fake phải không anh
26,Cho hỏi tên ghi đông là gì<br />Mình thích ghi đông kiểu đó<br />Giá bao nhiêu và ở đâu bán vậy bạn<br />Cám ơn bạn
27,Anh ơi làm sao để sửa cu đề lớn nhất
28,anh ơi lift xe của em nó kiểu như ko thể xang dc số nữa. mà nó chỉ ở số 7 thôi giờ em làm sao ạ. Anh chỉ giúp em với. em cảm mơn ạ \
29,Ad ơi. Xe mình mua về có 7 số nhưng đẩy lên cao nhất thì líp cũng chỉ nhảy có 3 số là tối đa thì phải chỉnh như thế nào vậy
30,"anh ơi, s e chỉnh bánh xe giữa thẳng hàng vs líp r mà nó cũng không xuống đc líp nhỏ nhất v ạ"
31,ad ơi xe e bị té ngã nên cái pas cùi đề nó bị méo chỉnh thế nào thì cùi đề cũng ko thẳng hàng vs líp có cách nào sửa ko ạ
32,Ad cho mk hỏi tại sao điều chỉnh đc cùi đề r mà bánh xe sau của mk quay ko đc bon cho lắm (phanh đã chỉnh ngon và ko bó)
33,"A ơi cho e hỏi là bây h đĩa trước mà bị chạm vào cái bộ phận chỉnh đĩa phát ta tiếng kêu thì làm sao ạ (đĩa số 3 ạ) khi e xuống đề số 3 thì lại không xuống dc, xuống đề số 6 thì nó kẹt ở đề số 5 rồi xuống số 7 nó mới nhảy xuống thì làm sao ạ? Lên đề số 2 3 4 thì lại có tiếng, bây h làm sao để sửa ạ"
34,"Bạn dùng từ ( dùng khóa thích hợp )nói nó hơi khó  nghe , nói ngay là ở đây là Lục giác"
35,Anh làm clip hướng dẫn đan căm và cân bánh xe sau đi a
36,"anh ơi cho em hỏi là líp sau đang ở dĩa 6 , em đề trên tay lên số 4 và số 3 và em quay bàn đạp thì nó chỉ nhảy nổi một đĩa và đề nó kêu tiếng bịch bịch,  mong anh giúp em"
37,Cho em hỏi lúc giác của anh bai nhiêu
38,"Mik đang chạy chiếc Shimano , cảm ơn bn chỉ"
39,Tuyệt quá! Xin cám ơn.
40,đề 9 speed xài cho 7 líp được không anh
41,A ơi mua bội thắng dầu ở đâu thế ???
42,"Nếu như xe e khi chỉnh dây đề nhưng cùi đề ko hoạt động ko di chuyển kaf sao ạ, dây vẫn căng vẫn lỏng"
43,Sao đề của em nó cứng ngắt ko chỉnh lên được (đề sao)
44,Xe em ko lên đc líp lớn nhất anh ơi
45,Nếu mà khi kéo tay đề mà nặng quá thì phải làm sao ạ ?
46,"Bạn cho mình hỏi, cùi đề sau, trước, tay đề của hãng nào rẻ mà tốt! Cảm ơn nhiều!"
47,Sao mình đi dĩa lớn vs líp nhỏ nhất đạp nó xảy ra tiếng kêu to là sao vậy add?
48,E ko có dầu chuyên dụng xài nhớ xe tay ga tra vào giờ ngày nào cũng phải lau 😂😂😂
49,"Anh ơi xe em ko xuống lip nhỏ được, từ lip 3 xuốg bấm đề bị cứng ko bấm được luôn ạ, a chỉ e với"
50,"ad cho hỏi xe mình 6 tầng, thay líp 7 tầng mà ko sử dụng hết 7 tầng,có phải bộ sang số 6 tầng ko phù hợp đúng ko ad ? Xin cảm ơn trước."
51,Mình bị hư 8 chỗ còn chạy được ngày mai là hư
52,Cái để chỉnh của e nó bị cứng thì làm sao vậy
53,"Cám ơn anh, bài hd rất chi tiết"
54,Hai con ốc h và l bị rơi có thể thay thế đc k vạya
55,Xe đạp kiểu road bị nhảy líp thì chỉnh làm sao vậy anh em mất 3 tiếng để chỉnh mà nó vẫn nhảy
56,Anh ơi của em lên được líp nhưng k nhả líp đc
57,Anh ơi . Em xài cùi đề shimano Rd tz31 mà sao em tìm mãi ko thấy ốc góc vậy ah?
58,Em bị mất óc H và L có sao không ạ?
59,Em dùng shimano fd tz50 mà xe có 7 tầng lip thì làm sao chỉnh đc ạ
60,Ah ơi sao cục đề sau của em rất nặng em ko thể lên clip to nhất đc
61,Em đi học tụ nó phá cù đề  xe hư lôn
62,"Thanks đã chia sẻ, nhưng mình vận dụng vào tay đề vặn của xe đạp con mình vẫn ko thể xuống hết líp nhỏ nhất được và lên tầng cao nhất líp to thì kêu rất to và bị kẹt cứng sên lại."
63,Em có chiếc xe mtb 650k bố em mua cho em
64,Tôi mới mua bộ group r 7000 shimano tôi lắp tay đề chỉnh các kiểu nhưng quá nặng tôi đã ktra dây đề ko bị đứt gảy mà khi chuyể líp nặng lắm. Các bạn tư vấn giúp tôi.xin cám ơn.
65,thank
66,"Anh ơi sao cùi đề sau em lên cái cuối ko đc , có lúc lên nhưng ko khớp vs dây xích"
67,Ah ơi nếu líp lên ko đc thì vặn theo chiều nào ah
68,Đã đăng ký kênh. Rất hay và bổ ích đối với người mới tập chơi xe đạp thể thao như mình. Cám ơn video đã giúp mình hiểu ra đc nhiều vấn đề chuyên môn!
69,Xe anh mấy triệu
70,Ah ơi xe em ko chỉnh đc lói trước thì làm sao ah
71,Cái đề sau của em không lên dc líp nhỏ nhất phải làm sao đây anh
72,anh ơi cù đề xe đằng trước của em khó nên đc số 3 thì phải làm thế nào ?<br />mong ah giúp
73,Dị shimano và sram có cùi đề giống nhau ko ??? mong ad trả lời
74,Xe mình bữa nay gắn đề
75,"Chào bạn. Xe mình tay chỉnh tăng lip bị nặng. Sên đang ở lip nhỏ muốn lên lip lớn rất khó, thường phải bấm 2 lần mới chuyển được 1 lip kế bên. Trong khi cần bấm xả thì hoạt động tốt"
76,"Bạn hướng dẩn thật chi tiết,  rành mạch &amp; rõ ràng nhất . Cám ơn bạn nhiều."
77,Xe em k chỉnh líp đc đến líp nhỏ nhất được thì mình khắc phục thế nào anh &lt;3 mong anh hướng dẫn ạ
78,"Xe em bị kêu lách cách ở cổ xe thường xuyên, em đã siết ốc lại nhưng vẫn k khắc phục được"
79,"Anh ơi,em mới chơi sram nên chọn xo hay gx vậy anh"
80,"cho e hỏi là xe e líp 7 thì có thể lên được líp 8 ko ạ, lên xong có bị sao ko ạ"
81,Facebook của a là gì vậy ạ
82,"Ah ơi làm clip gắn cùi đề trước sau cho ah em mới chơi học hỏi đi ah , cám ơn nhiều ."
83,"Hay , chuyên mghiệp ."
84,Clip rất có ích như người chơi xe đạp như mình
85,Chú con đi chiếc xe đạp fornix ms50 cụ đề của con nó bị gì mà khi tăng giảm lip lip không đúng ví dụ líp 7 mà lên líp 5 mà cụ đề bị nghiêng nữ chú có thể chỉ con được không
86,Cái đồ để dựng xe lên để quay bánh chỉnh đề là gì vậy nhỉ ad ?
87,Anh sao em dang chay cai cui de no nhay
88,Ad cho hỏi mình đang có bộ đề shimano mà ba mình ko biết xịt dầu RP7 vào bộ đề trên tay lái thì bị tuột đồ ko chỉnh đề được nữa. Ad có biết cách khắc phục ko ạ
89,Bạn có zalo ko để mình gửi hình cho bạn xem
90,Thật đấy ! Do ko post hình đc nên ad khó hình dung thôi
91,"Ad ơi cho hỏi ở đâu có bán bộ tuýn(chụp,khẩu) mở bulong 5 cạnh."
92,"Cảm ơn Viet Riders. Xe em hồi trước chạy được líp nhỏ nhất thôi, mấy íp kia ko qua được hoặc kêu tạch tạch,nhờ có video này mà bây giờ em đã chạy đc tất cả các líp"
93,Hay
94,em không hiểu khúc cuối cho lắm
95,Xe em không xuống dc líp 1 khi xuống líp hay cêu tạch tạch
96,Hay qua
97,mỡ bôi trơn ổ trục mua ở đâu anh
98,chỉnh như anh rồi mà lên tầng nó ko đc mượt ( kêu tạch tạch ) là sao a
99,sao em chỉnh chuẩn mà chuyển líp vân ko mượt
