Column1,Label,Raw_Comments
0,Other,"Cả nhà nhớ like và subscribe (đăng ký) Channel để ủng hộ Viet Riders có thêm nhiều video mới nhé, cảm ơn mọi người"
1,Enjoyment,tks . Rất chi tiết và hữu ích
2,Sadness,Sao e chỉnh mà nó chẳng thay đổi j ạ
3,Other,Anh làm ơn hướng dẫn chỉnh Cùi đề trước thì trọn vẹn cho người sử dụng xe.
4,Sadness,Cho mình hỏi sao mình mình bấm líp không ăn
5,Other,"Ad cho mình hỏi. Cùi đề slx 11 chạy với líp 10, tay đề 10 được không."
6,Enjoyment,Xe Líp vặn chỉnh thế này được không anh
7,Disgust,Trục xoay không xoay được thì sao ạ ?
8,Other,cùi đề anh mua ở đâu vậy
9,Other,"Em có vài câu hỏi như sau ạ:<br />1) Cái pát cùi đề như thế nào là đúng ạ? Hôm vừa rồi ông sửa xe có nói là bị cong và bẻ lại, nhưng em ko biết đã vào đúng chưa.<br />2) Đoạn đầu anh chỉnh độ căng của dây đề bằng cách siết trục xoay (cục của em là ở trên cùi đề), sau đó xả và siết ốc dây đề thì:<br />    2.1) Độ căng của dây lúc này như thế nào cho vừa?<br />    2.2) Anh có thể chỉ chi tiết hơn chỗ xả và siết ốc dây đề không ạ?<br />Em mới tìm hiểu, mong nhận câu trả lời ạ."
10,Enjoyment,"Hay quá anh ơi, chân trời kiến thức"
11,Other,A ơi xe em líp8 mà bây h em muốn lên lip 10 thì mình có phải thay cả cùi đề ko anh
12,Enjoyment,👍
13,Disgust,"Hello a Viet, em có 1 câu hỏi , xe em hiện tại đi 1 đĩa 28T và líp sau lớn nhất là 46T, nếu e để ở líp to nhất và đạp lùi(nghe tiếng cối nổ) thì có xu hướng rớt xích về tầng nhỏ hơn là bth hay là bất thường ạ. Cùi đề e xài M5120."
14,Enjoyment,Em cam on anh nhe
15,Other,Ban có clip hướng dẫn road shimano 10 không
16,Enjoyment,Anh cho em sin ìno đi
17,Other,"<a href=""https://www.youtube.com/watch?v=ctH3Bo6TKBE&amp;t=3m11s"">3:11</a> núm vặn nào vậy<br /> a"
18,Enjoyment,Nếu e là 1 người dùng MTB chỉ đi trong city + offroad nhẹ nhàng (ko leo nhiều ấy ah) thì e nên sài group Alivio là đủ hay nên lên luôn Deore ah ? ( vì kinh phí ko thoải mái nên e khá cân nhắc việc nâng cấp ấy ạ)
19,Fear,ơ sao e chỉnh xong đi nó lại bị tuột xích thế a
20,Enjoyment,Hay
21,Anger,Em làm toét đầu 2 con ốc high low thì có thay được con khác ko anh. Ra tiệm họ bảo ko thay dc. Do bữa chỉnh hí hoáy cái tô vít hơi to so với đầu ốc
22,Sadness,chú ơi xe đạp cháu không ăn vào líp nhỏ nhất và líp lớn nhất là sao v chú
23,Enjoyment,Hay quá
